token,freq,status
kam,124,unreviewed
thake,123,mapped
said,123,keep
charger,123,keep
air,123,keep
jmn,123,unreviewed
mark,122,keep
guys,122,unreviewed
expensive,122,english
lage,122,mapped
bilkul,122,unreviewed
company,121,unreviewed
mobile,121,keep
feels,121,unreviewed
finishing,121,unreviewed
cheez,121,unreviewed
bangladesh,120,keep
mashallah,120,mapped
paichi,120,mapped
although,120,english
us,120,english
sure,120,unreviewed
old,120,keep
peye,120,unreviewed
controller,120,keep
alu,120,unreviewed
dekhe,119,mapped
total,119,keep
wear,119,keep
dekha,118,mapped
bhai,118,mapped
paise,118,mapped
due,117,english
vhalo,117,mapped
didn,117,unreviewed
responsive,117,unreviewed
khob,117,unreviewed
tried,117,unreviewed
voice,116,keep
body,115,keep
vloi,115,mapped
type,115,keep
going,114,unreviewed
cheaper,114,unreviewed
niye,114,unreviewed
thankyou,114,unreviewed
help,114,unreviewed
considering,114,unreviewed
led,114,keep
clean,114,keep
brush,114,keep
onno,113,unreviewed
connect,113,unreviewed
holo,113,mapped
anything,113,english
hoice,113,mapped
shob,113,mapped
abar,113,mapped
belt,113,keep
safely,112,unreviewed
speaker,112,keep
korbo,112,mapped
mic,112,keep
room,112,keep
quantity,112,unreviewed
earphone,112,keep
t-shirt,112,keep
chain,112,keep
half,112,keep
actually,111,unreviewed
provided,111,unreviewed
nothing,111,english
official,110,keep
open,110,keep
around,110,english
impressive,110,unreviewed
paper,109,keep
pai,109,mapped
korlam,109,mapped
instead,109,unreviewed
korle,109,mapped
others,109,english
hisebe,108,unreviewed
cost,108,english
heavy,108,mapped
cap,108,keep
till,107,unreviewed
bebohar,107,mapped
soon,107,unreviewed
pink,107,keep
nah,106,mapped
comes,106,keep
expectations,105,unreviewed
length,105,keep
years,105,keep
friendly,104,keep
goods,104,unreviewed
samsung,104,keep
compare,104,unreviewed
find,103,english
option,103,keep
saller,103,unreviewed
number,103,keep
car,103,keep
sy,103,unreviewed
hoyeche,102,unreviewed
usb,102,keep
mota,102,mapped
during,102,english
dress,102,keep
affordable,102,unreviewed
page,102,keep
proper,101,unreviewed
deyar,101,unreviewed
accurate,101,unreviewed
outstanding,101,unreviewed
dekhi,101,unreviewed
onujai,101,unreviewed
tmn,101,unreviewed
trust,101,unreviewed
weeks,101,english
vabe,101,unreviewed
left,101,keep
im,101,unreviewed
pathetic,101,unreviewed
video,100,keep
large,100,keep
rs,100,keep
bhot,100,unreviewed
android,99,keep
dewar,99,unreviewed
refund,99,english
thanx,99,unreviewed
thin,99,keep
aita,99,mapped
aur,99,unreviewed
bd,98,english
lower,98,keep
copy,98,english
doubt,98,unreviewed
those,98,english
button,98,keep
moddhe,98,mapped
caile,98,mapped
exact,98,unreviewed
running,98,keep
base,98,keep
camera,97,keep
nei,97,mapped
installed,97,unreviewed
since,97,english
ap,97,keep
akhon,96,mapped
age,96,mapped
selar,96,unreviewed
disappointing,96,unreviewed
baki,96,unreviewed
specially,96,unreviewed
ear,96,keep
kids,96,keep
ya,96,unreviewed
ko,96,unreviewed
kr,96,keep
issues,95,unreviewed
asked,95,unreviewed
hisabe,95,unreviewed
prices,95,unreviewed
screen,94,keep
laglo,94,mapped
something,94,english
impressed,94,unreviewed
sellers,94,unreviewed
scratches,94,unreviewed
dey,93,unreviewed
airpods,93,keep
our,92,keep
bole,92,mapped
gionee,92,unreviewed
ordering,91,unreviewed
suggest,91,unreviewed
choice,91,keep
lovely,91,unreviewed
nh,91,unreviewed
mil,91,unreviewed
needs,91,keep
daraj,91,unreviewed
headphones,91,keep
wife,90,unreviewed
satisfying,90,unreviewed
completely,90,unreviewed
headphone,89,keep
onujayi,89,unreviewed
cream,89,keep
sorry,88,english
wire,88,keep
worked,88,english
bubble,88,keep
space,88,keep
three,87,keep
appreciate,87,unreviewed
case,87,keep
satisfy,87,unreviewed
once,87,english
fraud,87,unreviewed
smaller,87,unreviewed
glasses,87,keep
gaming,86,keep
wasn't,86,unreviewed
wallet,86,keep
result,86,unreviewed
music,86,keep
durable,86,keep
kia,86,unreviewed
kinte,85,unreviewed
hour,85,english
built,85,keep
dekhte,85,mapped
play,85,keep
laptop,85,keep
reviewing,85,unreviewed
features,84,keep
jeta,84,mapped
i'll,84,unreviewed
chat,84,unreviewed
somoy,84,unreviewed
isn't,84,unreviewed
put,84,english
xl,84,keep
potato,84,keep
diya,83,unreviewed
told,83,unreviewed
improve,83,keep
vaiya,83,unreviewed
expectation,83,unreviewed
glass,83,keep
pieces,83,keep
let's,83,unreviewed
rokom,83,unreviewed
volume,83,keep
boy,83,keep
ml,83,keep
through,82,english
jak,82,unreviewed
write,82,unreviewed
storage,82,keep
doesn,82,unreviewed
mart,82,keep
handy,82,keep
dile,81,unreviewed
needed,81,unreviewed
mini,81,keep
else,81,english
pics,81,keep
medium,81,keep
carry,81,keep
shoe,81,keep
request,80,unreviewed
luck,80,unreviewed
sale,80,unreviewed
tell,80,unreviewed
getting,80,unreviewed
green,80,keep
making,80,keep
kharab,80,unreviewed
darun,79,mapped
voucher,79,unreviewed
ram,79,keep
recomended,79,unreviewed
dark,79,keep
jamon,79,unreviewed
each,79,english
expecting,79,unreviewed
diyeche,79,unreviewed
inch,79,keep
glow,79,keep
him,78,english
oder,78,mapped
tara,78,unreviewed
taratari,78,mapped
gives,78,unreviewed
part,78,keep
noise,78,keep
pailam,77,mapped
pcs,77,keep
nilam,77,mapped
add,77,unreviewed
jodi,77,mapped
sha,77,unreviewed
saler,77,unreviewed
results,77,unreviewed
lasting,77,keep
powder,77,keep
saree,77,keep
delivering,76,unreviewed
customers,76,unreviewed
packaged,76,unreviewed
complain,76,unreviewed
returned,76,english
sticker,76,keep
colours,76,unreviewed
tamon,76,unreviewed
ball,76,keep
board,76,keep
third,76,english
effective,76,unreviewed
awaz,76,unreviewed
raha,76,unreviewed
place,75,unreviewed
sir,75,unreviewed
korsi,75,mapped
game,75,keep
yes,75,keep
legeche,75,unreviewed
single,75,keep
sell,75,unreviewed
thy,75,unreviewed
wo,75,unreviewed
aya,75,unreviewed
touch,74,keep
youtube,74,keep
deya,74,mapped
wall,74,keep
makes,74,unreviewed
where,74,english
stick,74,keep
expired,74,unreviewed
kiya,74,unreviewed
night,73,keep
dei,73,unreviewed
seen,73,unreviewed
worthy,73,unreviewed
kajer,73,mapped
loose,73,keep
amake,73,mapped
patla,73,mapped
special,72,keep
porjonto,72,mapped
eita,72,mapped
key,72,keep
amount,72,english
plus,72,keep
shobai,72,mapped
wise,72,english
cards,72,keep
his,71,english
control,71,keep
kno,71,unreviewed
uchit,71,unreviewed
maner,71,unreviewed
complete,71,keep
sounds,71,unreviewed
gorgeous,71,keep
paid,70,unreviewed
pabo,70,mapped
level,70,keep
process,70,unreviewed
dice,70,mapped
sondor,70,unreviewed
strongly,70,unreviewed
shape,70,keep
der,70,unreviewed
ghori,70,unreviewed
awsome,69,unreviewed
ne,69,unreviewed
zabardast,69,unreviewed
earphones,68,keep
bro,68,unreviewed
fitting,68,english
standard,68,keep
dolna,68,keep
aik,68,unreviewed
actual,67,unreviewed
korse,67,mapped
prize,67,unreviewed
selling,67,unreviewed
test,67,keep
pochondo,67,unreviewed
purpose,67,keep
started,67,unreviewed
pay,67,unreviewed
apnader,66,mapped
read,66,unreviewed
adapter,66,keep
install,66,unreviewed
user,66,keep
wireless,66,keep
besh,66,mapped
halka,66,unreviewed
reliable,66,keep
dewa,66,unreviewed
shows,66,unreviewed
pleased,66,unreviewed
sa,66,unreviewed
machine,66,keep
honey,66,keep
maybe,65,unreviewed
faulty,65,unreviewed
update,65,keep
pair,65,keep
model,65,keep
china,65,keep
defective,65,unreviewed
data,65,keep
korechi,65,mapped
able,65,unreviewed
wish,65,unreviewed
soto,65,unreviewed
higher,64,unreviewed
won't,64,unreviewed
kmn,64,unreviewed
jara,64,unreviewed
router,64,keep
bed,64,keep
reviews,64,english
watches,64,keep
sotti,64,mapped
dry,64,keep
kar,64,unreviewed
pendrive,64,keep
dia,63,unreviewed
simple,63,keep
com,63,unreviewed
head,63,keep
ago,63,unreviewed
suitable,63,keep
memory,63,keep
usual,63,unreviewed
dibo,63,mapped
wrap,63,keep
abr,63,unreviewed
opened,63,unreviewed
mein,63,unreviewed
realme,62,keep
faster,62,unreviewed
kothay,62,unreviewed
fastest,62,unreviewed
business,62,keep
kache,62,mapped
finally,62,unreviewed
having,62,unreviewed
showing,62,unreviewed
surprised,62,unreviewed
early,62,mapped
pad,62,keep
thanku,62,mapped
pr,62,unreviewed
toy,62,mapped
pick,62,keep
alhumdulillah,61,mapped
audio,61,keep
broke,61,unreviewed
koto,61,unreviewed
tight,61,unreviewed
earbuds,61,keep
let,61,unreviewed
paice,61,unreviewed
yellow,61,keep
perfume,61,keep
name,60,keep
kicu,60,mapped
ekhon,60,mapped
word,60,unreviewed
kindly,60,unreviewed
connection,60,unreviewed
hocche,60,unreviewed
bright,60,keep
rating,60,unreviewed
later,60,unreviewed
pen,60,keep
sealed,60,unreviewed
hay,60,unreviewed
mai,60,unreviewed
solid,59,keep
slightly,59,unreviewed
ponno,59,unreviewed
glad,59,unreviewed
down,59,keep
strap,59,keep
charged,59,unreviewed
brother,59,unreviewed
pant,59,keep
checked,59,unreviewed
table,59,keep
mila,59,unreviewed
chez,59,unreviewed
waiting,58,unreviewed
korchi,58,mapped
sometimes,58,english
kase,58,mapped
jnno,58,unreviewed
dilen,58,mapped
microphone,58,keep
amk,58,unreviewed
khusi,58,mapped
